"","Player","Position","Team","Salary14-15"
"222","Steven Adams",", C","Oklahoma City Thunder","$2,184,960"
"280","Mitch McGary",", PF","Oklahoma City Thunder","$1,400,040"
"304","Andre Roberson",", SG","Oklahoma City Thunder","$1,160,880"
"355","Perry Jones",", SF","Oklahoma City Thunder","$1,129,200"
"365","Kyle Singler",", SF","Oklahoma City Thunder","$1,090,000"
"389","Sebastian Telfair",", PG","Oklahoma City Thunder","$915,243"
"400","Ish Smith",", PG","Oklahoma City Thunder","$861,405"
"440","Lance Thomas",", SF","Oklahoma City Thunder","$403,784"
"448","Kendrick Perkins",", C","Oklahoma City Thunder","$274,573"
"35","Eric Bledsoe",", PG","Phoenix Suns","$13,000,000"
"47","Isaiah Thomas",", PG","Phoenix Suns","$7,238,606"
"76","P.J. Tucker",", SF","Phoenix Suns","$5,700,000"
"98","Brandan Wright",", PF","Phoenix Suns","$5,000,000"
"145","Alex Len",", C","Phoenix Suns","$3,649,920"
"147","Brandon Knight",", PG","Phoenix Suns","$3,553,917"
"148","Gerald Green",", SG","Phoenix Suns","$3,500,000"
"183","Markieff Morris",", PF","Phoenix Suns","$2,989,239"
"185","Marcus Morris",", PF","Phoenix Suns","$2,943,221"
"240","T.J. Warren",", SF","Phoenix Suns","$1,953,120"
"253","Zoran Dragic",", SG","Phoenix Suns","$1,706,225"
"262","Tyler Ennis",", PG","Phoenix Suns","$1,590,720"
"299","Shavlik Randolph",", PF","Phoenix Suns","$1,227,985"
"301","Reggie Bullock",", SF","Phoenix Suns","$1,200,720"
"303","Miles Plumlee",", C","Phoenix Suns","$1,169,880"
"339","Marcus Thornton",", SF","Phoenix Suns","$8,575,000"
"352","Goran Dragic",", PG","Phoenix Suns","$7,500,000"
"359","Archie Goodwin",", SG","Phoenix Suns","$1,112,280"
"458","Earl Barron",", C","Phoenix Suns","$183,049"
"475","A.J. Price",", PG","Phoenix Suns","$53,838"
"477","Seth Curry",", SG","Phoenix Suns","$48,028"
"16","LaMarcus Aldridge",", PF","Portland Trail Blazers","$16,006,000"
"46","Wesley Matthews",", SG","Portland Trail Blazers","$7,245,640"
"69","Robin Lopez",", C","Portland Trail Blazers","$6,124,729"
"106","Chris Kaman",", C","Portland Trail Blazers","$4,800,000"
"142","Thomas Robinson",", PF","Portland Trail Blazers","$3,678,360"
"153","Damian Lillard",", PG","Portland Trail Blazers","$3,340,920"
"170","Dorell Wright",", SF","Portland Trail Blazers","$3,150,000"
"178","Joel Freeland",", C","Portland Trail Blazers","$3,013,512"
"209","C.J. McCollum",", SG","Portland Trail Blazers","$2,421,000"
"213","Meyers Leonard",", PF","Portland Trail Blazers","$2,317,920"
"281","Victor Claver",", PF","Portland Trail Blazers","$1,370,000"
"311","Nicolas Batum",", SG","Portland Trail Blazers","$11,765,500"
"351","Arron Afflalo",", SG","Portland Trail Blazers","$7,500,000"
"399","Allen Crabbe",", SF","Portland Trail Blazers","$862,000"
"471","Tim Frazier",", PG","Portland Trail Blazers","$59,686"
"10","Rudy Gay",", SF","Sacramento Kings","$19,317,326"
"29","DeMarcus Cousins",", PF","Sacramento Kings","$14,746,000"
"62","Carl Landry",", PF","Sacramento Kings","$6,500,000"
"64","Derrick Williams",", PF","Sacramento Kings","$6,331,404"
"70","Jason Thompson",", PF","Sacramento Kings","$6,037,500"
"107","Darren Collison",", PG","Sacramento Kings","$4,797,664"
"176","Ben McLemore",", SG","Sacramento Kings","$3,026,280"
"194","Nik Stauskas",", SG","Sacramento Kings","$2,745,840"
"249","Reggie Evans",", C","Sacramento Kings","$1,768,653"
"273","Scotty Hopson",", SG","Sacramento Kings","$1,450,878"
"380","Ryan Hollins",", C","Sacramento Kings","$915,243"
"409","Ray McCallum",", PG","Sacramento Kings","$816,482"
"429","Sim Bhullar",", C","Sacramento Kings","$507,336"
"457","Quincy Miller",", SF","Sacramento Kings","$183,049"
"480","David Stockton",", PG","Sacramento Kings","$29,483"
"40","Tony Parker",", PG","San Antonio Spurs","$12,500,000"
"52","Manu Ginobili",", SG","San Antonio Spurs","$7,000,000"
"128","Danny Green",", SG","San Antonio Spurs","$4,025,000"
"138","Patty Mills",", PG","San Antonio Spurs","$3,842,105"
"187","Kawhi Leonard",", SF","San Antonio Spurs","$2,894,059"
"189","Marco Belinelli",", SG","San Antonio Spurs","$2,873,750"
"228","Aron Baynes",", C","San Antonio Spurs","$2,077,000"
"233","Cory Joseph",", PG","San Antonio Spurs","$2,023,261"
"245","Jeff Ayres",", PF","San Antonio Spurs","$1,828,750"
"322","Tim Duncan",", C","San Antonio Spurs","$10,361,446"
"332","Tiago Splitter",", C","San Antonio Spurs","$9,250,000"
"350","Boris Diaw",", C","San Antonio Spurs","$7,500,000"
"363","Kyle Anderson",", SF","San Antonio Spurs","$1,093,680"
"388","Matt Bonner",", C","San Antonio Spurs","$915,243"
"445","Reggie Williams",", SF","San Antonio Spurs","$344,036"
"476","Austin Daye",", SF","San Antonio Spurs","$53,838"
"44","Kyle Lowry",", PG","Toronto Raptors","$12,000,000"
"54","Amir Johnson",", PF","Toronto Raptors","$7,000,000"
"63","Greivis Vasquez",", PG","Toronto Raptors","$6,400,000"
"68","Landry Fields",", SG","Toronto Raptors","$6,250,000"
"73","Chuck Hayes",", PF","Toronto Raptors","$5,958,750"
"75","Patrick Patterson",", PF","Toronto Raptors","$5,831,326"
"83","Louis Williams",", SG","Toronto Raptors","$5,450,000"
"141","Jonas Valanciunas",", C","Toronto Raptors","$3,678,360"
"156","Tyler Hansbrough",", PF","Toronto Raptors","$3,326,235"
"190","Terrence Ross",", SF","Toronto Raptors","$2,793,960"
"205","James Johnson",", PF","Toronto Raptors","$2,500,000"
"250","Lucas Nogueira",", C","Toronto Raptors","$1,762,680"
"272","Bruno Caboclo",", SF","Toronto Raptors","$1,458,360"
"324","DeMar DeRozan",", SG","Toronto Raptors","$10,100,000"
"444","Ronald Roberts Jr.",", PF","Toronto Raptors","$373,041"
"37","Derrick Favors",", PF","Utah Jazz","$12,950,000"
"77","Enes Kanter",", C","Utah Jazz","$5,694,674"
"146","Dante Exum",", PG","Utah Jazz","$3,615,000"
"150","Steve Novak",", SF","Utah Jazz","$3,445,947"
"175","Alec Burks",", SG","Utah Jazz","$3,034,356"
"203","Trey Burke",", PG","Utah Jazz","$2,548,560"
"247","Jeremy Evans",", SF","Utah Jazz","$1,794,871"
"290","Rodney Hood",", SG","Utah Jazz","$1,290,360"
"356","Rudy Gobert",", C","Utah Jazz","$1,127,400"
"410","Carrick Felix",", SG","Utah Jazz","$816,482"
"443","Patrick Christopher",", SG","Utah Jazz","$379,010"
"450","Elijah Millsap",", SG","Utah Jazz","$241,731"
"462","Elliot Williams",", SG","Utah Jazz","$107,676"
"465","Chris Johnson",", SF","Utah Jazz","$107,676"
"469","Bryce Cotton",", PG","Utah Jazz","$92,514"
"472","Jack Cooley",", SF","Utah Jazz","$59,686"
"28","John Wall",", PG","Washington Wizards","$14,746,000"
"33","Nene Hilario",", C","Washington Wizards","$13,000,000"
"86","Martell Webster",", SF","Washington Wizards","$5,381,750"
"112","Andre Miller",", PG","Washington Wizards","$4,650,000"
"114","Bradley Beal",", SG","Washington Wizards","$4,505,280"
"117","Otto Porter Jr.",", SF","Washington Wizards","$4,470,480"
"121","Kris Humphries",", PF","Washington Wizards","$4,250,000"
"135","Kevin Seraphin",", C","Washington Wizards","$3,898,692"
"186","Will Bynum",", PG","Washington Wizards","$2,915,908"
"224","Ramon Sessions",", PG","Washington Wizards","$2,077,000"
"235","DeJuan Blair",", C","Washington Wizards","$2,000,000"
"284","Melvin Ely",", C","Washington Wizards","$1,316,809"
"321","Marcin Gortat",", C","Washington Wizards","$10,434,782"
"368","Garrett Temple",", SG","Washington Wizards","$981,084"
"374","Josh Harrellson",", C","Washington Wizards","$948,163"
"381","Drew Gooden",", PF","Washington Wizards","$915,243"
"387","Rasual Butler",", SF","Washington Wizards","$915,243"
"403","Glen Rice Jr.",", SG","Washington Wizards","$816,482"
"467","Toure' Murry",", SF","Washington Wizards","$96,056"
"66","Kyle Korver",", SG","Atlanta Hawks","$6,253,521"
"124","Thabo Sefolosha",", SG","Atlanta Hawks","$4,150,000"
"154","Mike Scott",", PF","Atlanta Hawks","$3,333,333"
"206","DeMarre Carroll",", SF","Atlanta Hawks","$2,442,455"
"208","Shelvin Mack",", PG","Atlanta Hawks","$2,433,333"
"237","Kent Bazemore",", SF","Atlanta Hawks","$2,000,000"
"256","Dennis Schroder",", PG","Atlanta Hawks","$1,690,680"
"285","John Jenkins",", SG","Atlanta Hawks","$1,312,920"
"294","Pero Antic",", PF","Atlanta Hawks","$1,250,000"
"310","Al Horford",", C","Atlanta Hawks","$12,000,000"
"329","Paul Millsap",", PF","Atlanta Hawks","$9,500,000"
"346","Jeff Teague",", PG","Atlanta Hawks","$8,000,000"
"413","Mike Muscala",", PF","Atlanta Hawks","$816,482"
"48","Avery Bradley",", PG","Boston Celtics","$7,191,011"
"55","Brandon Bass",", PF","Boston Celtics","$6,900,000"
"160","Marcus Smart",", PG","Boston Celtics","$3,283,320"
"163","Evan Turner",", SG","Boston Celtics","$3,278,000"
"223","Vitor Faverani",", C","Boston Celtics","$2,090,000"
"229","Kelly Olynyk",", C","Boston Celtics","$2,075,760"
"255","Tyler Zeller",", C","Boston Celtics","$1,703,760"
"257","James Young",", SG","Boston Celtics","$1,674,480"
"278","Jared Sullinger",", C","Boston Celtics","$1,424,520"
"323","Gerald Wallace",", SF","Boston Celtics","$10,105,855"
"407","Phil Pressey",", PG","Boston Celtics","$816,482"
"414","Erik Jay Murphy",", PF","Boston Celtics","$816,482"
"59","Wilson Chandler",", SF","Denver Nuggets","$6,757,913"
"87","JJ Hickson",", C","Denver Nuggets","$5,381,750"
"113","Timofey Mozgov",", C","Denver Nuggets","$4,650,000"
"149","Darrell Arthur",", PF","Denver Nuggets","$3,457,149"
"181","Randy Foye",", SG","Denver Nuggets","$3,000,000"
"197","Jameer Nelson",", PG","Denver Nuggets","$2,732,000"
"216","Kenneth Faried",", PF","Denver Nuggets","$2,249,768"
"248","Joffrey Lauvergne",", C","Denver Nuggets","$1,790,281"
"251","Jusuf Nurkic",", C","Denver Nuggets","$1,762,680"
"266","Gary Harris",", SG","Denver Nuggets","$1,519,200"
"312","Ty Lawson",", PG","Denver Nuggets","$11,595,506"
"318","Danilo Gallinari",", SF","Denver Nuggets","$10,854,850"
"72","Jodie Meeks",", SG","Detroit Pistons","$6,000,000"
"82","Greg Monroe",", C","Detroit Pistons","$5,479,934"
"115","Caron Butler",", SF","Detroit Pistons","$4,500,000"
"116","Jonas Jerebko",", PF","Detroit Pistons","$4,500,000"
"139","Joel Anthony",", C","Detroit Pistons","$3,800,000"
"191","Kentavious Caldwell-Pope",", SG","Detroit Pistons","$2,772,480"
"202","Andre Drummond",", C","Detroit Pistons","$2,568,360"
"252","Luigi Datome",", SF","Detroit Pistons","$1,750,000"
"293","Hasheem Thabeet",", C","Detroit Pistons","$1,250,000"
"296","Aaron Gray",", C","Detroit Pistons","$1,227,985"
"308","Cartier Martin",", PF","Detroit Pistons","$1,145,685"
"423","Spencer Dinwiddie",", PG","Detroit Pistons","$700,000"
"449","John Lucas III",", PG","Detroit Pistons","$269,189"
"60","Jason Richardson",", SG","Philadelphia 76ers","$6,601,125"
"94","Keith Bogans",", SG","Philadelphia 76ers","$5,285,817"
"118","Joel Embiid",", C","Philadelphia 76ers","$4,427,640"
"119","Luc Richard Mbah a Moute",", PF","Philadelphia 76ers","$4,382,576"
"159","Nerlens Noel",", PF","Philadelphia 76ers","$3,315,120"
"161","Alexey Shved",", PG","Philadelphia 76ers","$3,282,056"
"184","Furkan Aldemir",", PF","Philadelphia 76ers","$2,963,232"
"214","Michael Carter-Williams",", PG","Philadelphia 76ers","$2,300,040"
"300","Tony Wroten",", SG","Philadelphia 76ers","$1,210,080"
"316","JaVale McGee",", C","Philadelphia 76ers","$11,250,000"
"357","Marquis Teague",", PG","Philadelphia 76ers","$1,120,920"
"367","Robert Covington",", SF","Philadelphia 76ers","$1,000,000"
"395","Jerami Grant",", SF","Philadelphia 76ers","$884,879"
"402","Isaiah Canaan",", PG","Philadelphia 76ers","$816,842"
"421","Malcolm Lee",", SG","Philadelphia 76ers","$710,659"
"424","Malcolm Thomas",", PF","Philadelphia 76ers","$635,827"
"427","JaKarr Sampson",", SG","Philadelphia 76ers","$507,336"
"428","Pierre Jackson",", PG","Philadelphia 76ers","$507,336"
"437","Drew Gordon",", C","Philadelphia 76ers","$468,540"
"95","Zaza Pachulia",", C","Milwaukee Bucks","$5,200,000"
"103","Jabari Parker",", PF","Milwaukee Bucks","$4,930,560"
"120","Jared Dudley",", SG","Milwaukee Bucks","$4,250,000"
"238","John Henson",", PF","Milwaukee Bucks","$1,987,320"
"242","Giannis Antetokounmpo",", SF","Milwaukee Bucks","$1,873,200"
"286","Josh Powell",", PF","Milwaukee Bucks","$1,310,286"
"317","Larry Sanders",", C","Milwaukee Bucks","$11,000,000"
"345","O.J. Mayo",", SG","Milwaukee Bucks","$8,000,000"
"348","Ersan Ilyasova",", PF","Milwaukee Bucks","$7,900,000"
"401","Damien Inglis",", SF","Milwaukee Bucks","$820,000"
"426","Johnny O'Bryant III",", PF","Milwaukee Bucks","$600,000"
"438","Kenyon Martin",", PF","Milwaukee Bucks","$414,551"
"102","Victor Oladipo",", SG","Orlando Magic","$4,978,200"
"131","Aaron Gordon",", PF","Orlando Magic","$3,992,040"
"192","Nikola Vucevic",", C","Orlando Magic","$2,751,260"
"193","Luke Ridnour",", PG","Orlando Magic","$2,750,000"
"211","Elfrid Payton",", PG","Orlando Magic","$2,397,840"
"212","Tobias Harris",", SF","Orlando Magic","$2,380,594"
"241","Maurice Harkless",", SF","Orlando Magic","$1,887,840"
"246","Anthony Randolph",", SF","Orlando Magic","$1,825,359"
"263","Andrew Nicholson",", PF","Orlando Magic","$1,545,840"
"269","Evan Fournier",", SF","Orlando Magic","$1,483,920"
"274","Willie Green",", SG","Orlando Magic","$1,448,490"
"338","Channing Frye",", PF","Orlando Magic","$8,579,088"
"394","Devyn Marble",", SF","Orlando Magic","$884,879"
"406","Peyton Siva",", PG","Orlando Magic","$816,482"
